run_id,variant,scenario,mqtt_qos,matching_mode,missing_update_count_exact,proxy_frame_alignment_mode,browser_event_count,gateway_update_count,proxy_sent_frame_count,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,freshness_stddev_ms,stale_fraction,late_threshold_ms,late_count,missing_update_count,missing_updates_outage_drop_count,missing_updates_non_outage_drop_count,missing_updates_delivered_frame_count,missing_updates_unclassified_count,missing_sensor_count,gateway_mqtt_in_msgs,duplicates_dropped,compacted_dropped,value_dedup_dropped,freshness_ttl_ms,effective_batch_window_ms,stale_sensor_count,proxy_dropped_frames,proxy_downstream_frames_out,proxy_downstream_bytes_out,max_bandwidth_bytes_per_s,max_frame_rate_per_s,proxy_frame_rate_stddev_per_s,max_update_rate_per_s,dashboard_stale_count,dashboard_message_count,dashboard_frame_count,proxy_inter_frame_gap_sample_count,proxy_inter_frame_gap_mean_ms,proxy_inter_frame_gap_p50_ms,proxy_inter_frame_gap_p95_ms,proxy_inter_frame_gap_p99_ms,proxy_inter_frame_gap_stddev_ms,proxy_frame_alignment_note,run_dir,summary_path,condition_id,trial_id,trial_index,impairment_seed,schema_version,batch_window_ms,adaptive_min_batch_window_ms,adaptive_max_batch_window_ms,adaptive_step_up_ms,adaptive_step_down_ms,adaptive_queue_high_watermark,adaptive_queue_low_watermark,adaptive_send_slow_ms,adaptive_recovery_streak
v0-qos0-bandwidth_200kbps-trial-01-seed-53701,v0,bandwidth_200kbps,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,38.508,14.0,127.9,143.83,43.854,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,3653,40,11.655,43,80,132,132,131,184.542,1.0,57.5,5872.3,1006.886,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-bandwidth_200kbps\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-bandwidth_200kbps\trial-01-seed-53701\summary.json,v0-qos0-bandwidth_200kbps,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos0-bandwidth_200kbps-trial-02-seed-53702,v0,bandwidth_200kbps,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,39.424,30.0,108.15,130.83,31.648,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.534,1.0,58.5,5871.7,1006.887,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-bandwidth_200kbps\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-bandwidth_200kbps\trial-02-seed-53702\summary.json,v0-qos0-bandwidth_200kbps,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos0-bandwidth_200kbps-trial-03-seed-53703,v0,bandwidth_200kbps,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,43.205,26.0,128.45,141.83,40.803,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.542,1.0,58.5,5867.5,1005.998,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-bandwidth_200kbps\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-bandwidth_200kbps\trial-03-seed-53703\summary.json,v0-qos0-bandwidth_200kbps,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos0-clean-trial-01-seed-53701,v0,clean,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,11.848,8.0,30.9,42.07,10.135,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.511,0.0,63.0,5873.7,1007.259,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-clean\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-clean\trial-01-seed-53701\summary.json,v0-qos0-clean,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos0-clean-trial-02-seed-53702,v0,clean,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,12.197,11.5,27.45,31.69,8.718,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.534,0.0,65.0,5867.1,1006.064,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-clean\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-clean\trial-02-seed-53702\summary.json,v0-qos0-clean,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos0-clean-trial-03-seed-53703,v0,clean,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,14.159,10.0,37.45,43.69,12.255,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,2922,32,7.775,32,80,132,132,131,184.519,0.0,63.0,5875.1,1007.306,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-clean\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-clean\trial-03-seed-53703\summary.json,v0-qos0-clean,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos0-delay_50ms_jitter20ms-trial-01-seed-53701,v0,delay_50ms_jitter20ms,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,755.879,645.0,1806.05,2070.29,515.815,0.280303,1000,37,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,1647,18,4.435,18,80,132,132,131,195.779,54.0,82.5,4935.4,796.06,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-delay_50ms_jitter20ms\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-delay_50ms_jitter20ms\trial-01-seed-53701\summary.json,v0-qos0-delay_50ms_jitter20ms,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos0-delay_50ms_jitter20ms-trial-02-seed-53702,v0,delay_50ms_jitter20ms,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,745.462,629.0,1865.85,2147.43,532.588,0.272727,1000,36,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,1738,19,3.766,19,80,132,132,131,193.969,49.0,78.0,4963.8,793.908,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-delay_50ms_jitter20ms\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-delay_50ms_jitter20ms\trial-02-seed-53702\summary.json,v0-qos0-delay_50ms_jitter20ms,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos0-delay_50ms_jitter20ms-trial-03-seed-53703,v0,delay_50ms_jitter20ms,0,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,770.152,657.0,1843.4,2107.74,525.58,0.287879,1000,38,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,1552,17,3.219,17,80,132,132,131,194.565,61.0,79.0,4803.5,779.064,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-delay_50ms_jitter20ms\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-delay_50ms_jitter20ms\trial-03-seed-53703\summary.json,v0-qos0-delay_50ms_jitter20ms,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos0-loss_2pct-trial-01-seed-53701,v0,loss_2pct,0,exact_sensor_metric_msg_ts,True,unavailable,128,180,128,40.75,33.5,109.3,133.19,33.907,0.0,1000,0,52,0,0,0,52,14,180,0,0,0,1000,250,100,4,128,11693,3919,43,9.708,43,79,128,128,127,190.386,1.0,59.7,5876.18,1022.209,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-loss_2pct\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-loss_2pct\trial-01-seed-53701\summary.json,v0-qos0-loss_2pct,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
