scenario,variant,qos0_latency_p95_ms,qos1_latency_p95_ms,latency_p95_delta_ms,qos0_duplicates_dropped,qos1_duplicates_dropped,qos0_gateway_mqtt_in_msgs,qos1_gateway_mqtt_in_msgs,gateway_mqtt_in_msgs_delta_pct,qos0_proxy_downstream_bytes_out,qos1_proxy_downstream_bytes_out,downstream_bytes_delta_pct,qos0_proxy_downstream_frames_out,qos1_proxy_downstream_frames_out,downstream_frames_delta_pct,qos0_stale_fraction,qos1_stale_fraction,stale_fraction_delta,qos0_run_dir,qos1_run_dir
clean,v0,131.8,123.0,-8.8,0,0,180,180,0.0%,12069,12069,0.0%,132,132,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v0-qos0-clean,experiments\logs\final-intel-primary-20260403\v0-qos1-clean
clean,v2,269.0,272.45,3.45,0,0,180,180,0.0%,13051,13051,0.0%,5,5,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v2-qos0-clean,experiments\logs\final-intel-primary-20260403\v2-qos1-clean
clean,v4,682.0,467.0,-215.0,0,0,180,180,0.0%,17641,17641,0.0%,6,6,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v4-qos0-clean,experiments\logs\final-intel-primary-20260403\v4-qos1-clean
bandwidth_200kbps,v0,119.35,141.7,22.35,0,0,180,180,0.0%,12069,12069,0.0%,132,132,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v0-qos0-bandwidth_200kbps,experiments\logs\final-intel-primary-20260403\v0-qos1-bandwidth_200kbps
bandwidth_200kbps,v2,263.9,279.0,15.1,0,0,180,180,0.0%,13051,13051,0.0%,5,5,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v2-qos0-bandwidth_200kbps,experiments\logs\final-intel-primary-20260403\v2-qos1-bandwidth_200kbps
bandwidth_200kbps,v4,604.0,439.0,-165.0,0,0,180,180,0.0%,17641,17810,1.0%,6,7,16.7%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v4-qos0-bandwidth_200kbps,experiments\logs\final-intel-primary-20260403\v4-qos1-bandwidth_200kbps
loss_2pct,v0,120.55,122.65,2.1,0,0,180,180,0.0%,11883,11883,0.0%,130,130,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v0-qos0-loss_2pct,experiments\logs\final-intel-primary-20260403\v0-qos1-loss_2pct
loss_2pct,v2,269.0,263.45,-5.55,0,0,180,180,0.0%,13051,13051,0.0%,5,5,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v2-qos0-loss_2pct,experiments\logs\final-intel-primary-20260403\v2-qos1-loss_2pct
loss_2pct,v4,586.0,559.0,-27.0,0,0,180,180,0.0%,17641,17641,0.0%,6,6,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v4-qos0-loss_2pct,experiments\logs\final-intel-primary-20260403\v4-qos1-loss_2pct
outage_5s,v0,112.25,116.25,4.0,0,0,180,180,0.0%,10605,10605,0.0%,116,116,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v0-qos0-outage_5s,experiments\logs\final-intel-primary-20260403\v0-qos1-outage_5s
outage_5s,v2,277.0,273.25,-3.75,0,0,180,180,0.0%,11401,11401,0.0%,4,4,0.0%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v2-qos0-outage_5s,experiments\logs\final-intel-primary-20260403\v2-qos1-outage_5s
outage_5s,v4,579.0,453.05,-125.95,0,0,180,180,0.0%,17641,15621,-11.5%,6,5,-16.7%,0.0,0.0,0.0,experiments\logs\final-intel-primary-20260403\v4-qos0-outage_5s,experiments\logs\final-intel-primary-20260403\v4-qos1-outage_5s
