source_sweep,comparison_family,variant,scenario,mqtt_qos,proxy_inter_frame_gap_sample_count,proxy_inter_frame_gap_mean_ms,proxy_inter_frame_gap_p50_ms,proxy_inter_frame_gap_p95_ms,proxy_inter_frame_gap_p99_ms,proxy_inter_frame_gap_stddev_ms,proxy_frame_rate_stddev_per_s,effective_batch_window_ms,max_frame_rate_per_s,run_dir
intel-v2-v3-adaptive-replicated-20260408-135251,intel_adaptive_v2_vs_v3,v2,bandwidth_200kbps,0,4,6004.25,5999.0,6065.25,6074.25,48.5355,0.0,250,1,experiments\logs\intel-v2-v3-adaptive-replicated-20260408-135251\v2-qos0-bandwidth_200kbps\trial-01-seed-53701
intel-v2-v3-adaptive-replicated-20260408-135251,intel_adaptive_v2_vs_v3,v3,bandwidth_200kbps,0,4,6001.125,5993.25,6075.8,6086.36,57.544,0.0,250,1,experiments\logs\intel-v2-v3-adaptive-replicated-20260408-135251\v3-qos0-bandwidth_200kbps\trial-01-seed-53701
intel-v2-v3-adaptive-replicated-20260408-135251,intel_adaptive_v2_vs_v3,v2,delay_50ms_jitter20ms,0,4,6003.875,6015.75,6043.975,6045.595,42.487,0.0,250,1,experiments\logs\intel-v2-v3-adaptive-replicated-20260408-135251\v2-qos0-delay_50ms_jitter20ms\trial-01-seed-53701
intel-v2-v3-adaptive-replicated-20260408-135251,intel_adaptive_v2_vs_v3,v3,delay_50ms_jitter20ms,0,4,6005.25,6003.0,6062.125,6068.425,47.736,0.0,250,1,experiments\logs\intel-v2-v3-adaptive-replicated-20260408-135251\v3-qos0-delay_50ms_jitter20ms\trial-01-seed-53701
intel-v2-v3-adaptive-replicated-20260408-135251,intel_adaptive_v2_vs_v3,v2,loss_2pct,0,4,6006.25,5999.5,6073.625,6082.325,51.9295,0.0,250,1,experiments\logs\intel-v2-v3-adaptive-replicated-20260408-135251\v2-qos0-loss_2pct\trial-01-seed-53701
intel-v2-v3-adaptive-replicated-20260408-135251,intel_adaptive_v2_vs_v3,v3,loss_2pct,0,4,6005.75,6007.75,6051.25,6055.45,39.016,0.0,250,1,experiments\logs\intel-v2-v3-adaptive-replicated-20260408-135251\v3-qos0-loss_2pct\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v0,bandwidth_200kbps,0,131,184.539333,1.0,58.166667,5870.5,1006.590333,10.329,250,42,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-bandwidth_200kbps\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v2,bandwidth_200kbps,0,4,6004.833333,6000.5,6065.216667,6073.576667,47.747333,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v2-qos0-bandwidth_200kbps\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v4,bandwidth_200kbps,0,5,5585.666667,5995.666667,6052.933333,6060.453333,839.420333,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v4-qos0-bandwidth_200kbps\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v0,bandwidth_200kbps,1,131,184.526667,1.0,59.666667,5868.466667,1006.326,9.666,250,44,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-bandwidth_200kbps\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v2,bandwidth_200kbps,1,4,6006.583333,6016.5,6058.833333,6064.033333,50.203,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v2-qos1-bandwidth_200kbps\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v4,bandwidth_200kbps,1,5,5575.466667,6001.333333,6052.666667,6059.6,861.791667,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v4-qos1-bandwidth_200kbps\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v0,clean,0,131,184.521333,0.0,63.666667,5871.966667,1006.876333,9.035667,250,40,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-clean\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v2,clean,0,4,6005.0,6007.666667,6054.85,6058.97,43.061,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v2-qos0-clean\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v4,clean,0,5,5576.533333,5987.0,6060.933333,6072.453333,850.123,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v4-qos0-clean\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v0,clean,1,131,184.554667,1.0,60.333333,5868.6,1005.924,9.666,250,44,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-clean\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v2,clean,1,4,6002.833333,6001.833333,6074.233333,6083.113333,58.312,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v2-qos1-clean\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v4,clean,1,5,5586.866667,5983.666667,6061.933333,6072.653333,835.469667,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v4-qos1-clean\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v0,delay_50ms_jitter20ms,0,131,194.771,54.666667,79.833333,4900.9,789.677333,3.806667,250,18,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-delay_50ms_jitter20ms\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v2,delay_50ms_jitter20ms,0,4,6003.75,5996.0,6071.033333,6079.273333,52.977333,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v2-qos0-delay_50ms_jitter20ms\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v4,delay_50ms_jitter20ms,0,5,5582.6,5998.333333,6068.266667,6077.653333,846.922,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v4-qos0-delay_50ms_jitter20ms\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v0,delay_50ms_jitter20ms,1,131,195.450333,60.0,81.166667,4916.833333,787.981,5.865333,250,18,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-delay_50ms_jitter20ms\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v2,delay_50ms_jitter20ms,1,4,6001.583333,5991.333333,6064.716667,6073.476667,48.726667,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v2-qos1-delay_50ms_jitter20ms\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v4,delay_50ms_jitter20ms,1,5,5592.466667,5993.666667,6068.6,6077.186667,832.877,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v4-qos1-delay_50ms_jitter20ms\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v0,loss_2pct,0,127,189.861333,1.0,59.333333,5874.843333,1020.703667,9.403,250,42,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-loss_2pct\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v2,loss_2pct,0,4,6003.555667,6014.166667,6069.716667,6076.61,61.336,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v2-qos0-loss_2pct\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v4,loss_2pct,0,5,6056.166667,6009.833333,7725.8,7967.293333,1540.839333,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v4-qos0-loss_2pct\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v0,loss_2pct,1,127,189.856,1.0,59.883333,5873.086667,1020.557333,9.284333,250,37,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-loss_2pct\trial-01-seed-53701
final-intel-primary-replicated-20260408-135251,intel_primary,v2,loss_2pct,1,4,6003.666667,6000.5,6063.066667,6069.68,48.953,0.0,250,1,experiments\logs\final-intel-primary-replicated-20260408-135251\v2-qos1-loss_2pct\trial-01-seed-53701
